id,song_name,artist,album,year,link,image
1,Claque-le,Bagarre,None,2015,https://open.spotify.com/track/37Mo2cDPygNhsN0HG1igAX?si=dd38b59cea4b4192,yopo1.jpg
2,VERSUS,"Vitaa, Slimane",VersuS,2019,https://open.spotify.com/track/3HwbbGC4c9K4Pp9qwwxtPY?si=5013ab6b1cb34923,yopo2.jpg
3,Flou,Angèle,Brol,2018,https://open.spotify.com/track/3b89BehicGUgc60pLBo092?si=96713abed68b4f8f,yopo3.jpg
4,Kid,Eddy de Pretto,Cure,2018,https://open.spotify.com/track/1EIhcoMZ3See5L28kNvuFe?si=39f17ae98cc74075,yopo4-9.jpg
5,Mais je t'aime,"Grand Corps Malade, Camille Lellouche",None,2020,https://open.spotify.com/track/4dtG1p71E6VPt9BmVYWcY5?si=0e250aae96414538,yopo5.jpg
6,Sapés comme jamais (feat. Niska) - Pilule bleue,"GIMS, Niska",Mon coeur avait raison,2015,https://open.spotify.com/track/0CJ31BEjjl1tPIj0CKi9kH?si=a605604727584f72,yopo6.jpg
7,Malade,Alice on the roof,Madame,2019,https://open.spotify.com/track/0DeAfjxXBBBexsjQyLSzlv?si=cc2fb32bb7cc4333,yopo7.jpg
8,Donne-moi ton cœur,Louane,None,2020,https://open.spotify.com/track/44W3PGV0HOeAGBkxwPc98S?si=8d76c6f1b17a49e6,yopo8.jpg
9,Random,Eddy de Pretto,Cure,2018,https://open.spotify.com/track/5DRTbXA6iQ502o8hNLuNu3?si=4cdf8a15206f432f,yopo4-9.jpg
10,Suavemente,Soolking,Sans visa,2022,https://open.spotify.com/track/6Qe7YCkIOc1iaw9HKqO3qV?si=6a9239c22af04ac3,yopo10.jpg
11,Love Story,Indila,Mini World,2014,https://open.spotify.com/track/6nGeLlakfzlBcFdZXteDq7?si=90ab6711a9024d3b,yopo11.jpg
12,Peur des filles,L'Impératrice,None,2021,https://open.spotify.com/track/2PfPIIxUiH9Y7miXqiQdqv?si=e7e844a8f5fc4d47,yopo12.jpg
13,Le plus fort du monde,Black M,Éternel insatisfait (Réédition),2017,https://open.spotify.com/track/0ZUAu9lg95YEVqV7M0GQf8?si=5e5030ac8e6a4975,yopo13.jpg
14,Si j'étais un homme,Chilla,Karma,2017,https://open.spotify.com/track/4nP10ZXkRMi9msBSfsktob?si=7ae38113f4234728,yopo14.jpg
15,Parle à ta tête,Indila,None,2019,https://open.spotify.com/track/3lTGqzJbMYDHXbqeV8pt7d?si=65c5ce77ab1d4add,yopo15.jpg
16,Je te laisserai des mots,Patrick Watson,None,2010,https://open.spotify.com/track/0V5cvmTKsYmF5FmGGEAfmS?si=47e7b7c068fc40cc,yopo16.jpg
17,Quelqu'un m'a dit,Carla Bruni,Quelqu'un m'a dit,2002,https://open.spotify.com/track/5lIOhDGfy2lQJWWwxBm8L4?si=de83d608b61a43c8,yopo17.jpg
18,Le Bourdon de la Poupée,Yan Volsy,Miniatures,2010,https://open.spotify.com/track/6PMhS1l9WVVFb01pcez79i?si=e331b3a4a2a84fcb,yopo18.jpg
19,Eté 90,Therapie TAXI,Rupture 2 merde,2021,https://open.spotify.com/track/1p9dxTMtG4gZpLp7yzvT54?si=c41aa384a7644c8c,yopo19.jpg
20,"Amour, Haine & Danger",Angèle,None,2022,https://open.spotify.com/track/0AwExghm7adTvBm2N8fiuX?si=eda86dbcd15b4751,yopo20.jpg
21,J't'emmène au vent,Louise Attaque,Louise Attaque,1997,https://open.spotify.com/track/0Wr98MVkENZXddiLB3bPb0?si=1bba164d440c4c91,yopo21.jpg
22,Santé,Stromae,None,2021,https://open.spotify.com/track/3vXnuFnC5RhPGwsFi0ORcI?si=6c9af354513e404b,yopo22.jpg
